"","state","year","unemployment_rate","state_year"
"1","Alabama","1999",4.7,"Alabama1999"
"2","Alaska","1999",6.5,"Alaska1999"
"3","Arizona","1999",4.4,"Arizona1999"
"4","Arkansas","1999",4.6,"Arkansas1999"
"5","California","1999",5.2,"California1999"
"6","Colorado","1999",3.1,"Colorado1999"
"7","Connecticut","1999",2.9,"Connecticut1999"
"8","Delaware","1999",3.4,"Delaware1999"
"9","District of Columbia","1999",6.4,"District of Columbia1999"
"10","Florida","1999",3.9,"Florida1999"
"11","Georgia","1999",3.9,"Georgia1999"
"12","Hawaii","1999",5.4,"Hawaii1999"
"13","Idaho","1999",4.9,"Idaho1999"
"14","Illinois","1999",4.4,"Illinois1999"
"15","Indiana","1999",3,"Indiana1999"
"16","Iowa","1999",2.6,"Iowa1999"
"17","Kansas","1999",3.3,"Kansas1999"
"18","Kentucky","1999",4.5,"Kentucky1999"
"19","Louisiana","1999",5.1,"Louisiana1999"
"20","Maine","1999",4,"Maine1999"
"21","Maryland","1999",3.6,"Maryland1999"
"22","Massachusetts","1999",3.2,"Massachusetts1999"
"23","Michigan","1999",3.7,"Michigan1999"
"24","Minnesota","1999",2.8,"Minnesota1999"
"25","Mississippi","1999",5.1,"Mississippi1999"
"26","Missouri","1999",3.3,"Missouri1999"
"27","Montana","1999",5.3,"Montana1999"
"28","Nebraska","1999",2.8,"Nebraska1999"
"29","Nevada","1999",4,"Nevada1999"
"30","New Hampshire","1999",2.7,"New Hampshire1999"
"31","New Jersey","1999",4.5,"New Jersey1999"
"32","New Mexico","1999",5.6,"New Mexico1999"
"33","New York","1999",5.2,"New York1999"
"34","North Carolina","1999",3.2,"North Carolina1999"
"35","North Dakota","1999",3.3,"North Dakota1999"
"36","Ohio","1999",4.3,"Ohio1999"
"37","Oklahoma","1999",3.5,"Oklahoma1999"
"38","Oregon","1999",5.5,"Oregon1999"
"39","Pennsylvania","1999",4.4,"Pennsylvania1999"
"40","Rhode Island","1999",4.2,"Rhode Island1999"
"41","South Carolina","1999",4.3,"South Carolina1999"
"42","South Dakota","1999",2.7,"South Dakota1999"
"43","Tennessee","1999",4,"Tennessee1999"
"44","Texas","1999",4.7,"Texas1999"
"45","Utah","1999",3.5,"Utah1999"
"46","Vermont","1999",3,"Vermont1999"
"47","Virginia","1999",2.7,"Virginia1999"
"48","Washington","1999",4.9,"Washington1999"
"49","West Virginia","1999",6.5,"West Virginia1999"
"50","Wisconsin","1999",3.1,"Wisconsin1999"
"51","Wyoming","1999",4.6,"Wyoming1999"
"52","Alabama","2000",4.6,"Alabama2000"
"53","Alaska","2000",6.4,"Alaska2000"
"54","Arizona","2000",4,"Arizona2000"
"55","Arkansas","2000",4.3,"Arkansas2000"
"56","California","2000",4.9,"California2000"
"57","Colorado","2000",2.8,"Colorado2000"
"58","Connecticut","2000",2.4,"Connecticut2000"
"59","Delaware","2000",3.7,"Delaware2000"
"60","District of Columbia","2000",5.6,"District of Columbia2000"
"61","Florida","2000",3.7,"Florida2000"
"62","Georgia","2000",3.6,"Georgia2000"
"63","Hawaii","2000",4.2,"Hawaii2000"
"64","Idaho","2000",4.7,"Idaho2000"
"65","Illinois","2000",4.3,"Illinois2000"
"66","Indiana","2000",3.1,"Indiana2000"
"67","Iowa","2000",2.6,"Iowa2000"
"68","Kansas","2000",3.6,"Kansas2000"
"69","Kentucky","2000",4.2,"Kentucky2000"
"70","Louisiana","2000",5.3,"Louisiana2000"
"71","Maine","2000",3.4,"Maine2000"
"72","Maryland","2000",3.6,"Maryland2000"
"73","Massachusetts","2000",2.7,"Massachusetts2000"
"74","Michigan","2000",3.6,"Michigan2000"
"75","Minnesota","2000",3.2,"Minnesota2000"
"76","Mississippi","2000",5.4,"Mississippi2000"
"77","Missouri","2000",3.6,"Missouri2000"
"78","Montana","2000",5,"Montana2000"
"79","Nebraska","2000",2.8,"Nebraska2000"
"80","Nevada","2000",4.2,"Nevada2000"
"81","New Hampshire","2000",2.7,"New Hampshire2000"
"82","New Jersey","2000",3.7,"New Jersey2000"
"83","New Mexico","2000",4.9,"New Mexico2000"
"84","New York","2000",4.5,"New York2000"
"85","North Carolina","2000",3.7,"North Carolina2000"
"86","North Dakota","2000",3,"North Dakota2000"
"87","Ohio","2000",4,"Ohio2000"
"88","Oklahoma","2000",3,"Oklahoma2000"
"89","Oregon","2000",5.1,"Oregon2000"
"90","Pennsylvania","2000",4.1,"Pennsylvania2000"
"91","Rhode Island","2000",4.1,"Rhode Island2000"
"92","South Carolina","2000",3.8,"South Carolina2000"
"93","South Dakota","2000",2.5,"South Dakota2000"
"94","Tennessee","2000",3.9,"Tennessee2000"
"95","Texas","2000",4.3,"Texas2000"
"96","Utah","2000",3.3,"Utah2000"
"97","Vermont","2000",2.8,"Vermont2000"
"98","Virginia","2000",2.3,"Virginia2000"
"99","Washington","2000",5.2,"Washington2000"
"100","West Virginia","2000",5.5,"West Virginia2000"
"101","Wisconsin","2000",3.5,"Wisconsin2000"
"102","Wyoming","2000",3.9,"Wyoming2000"
"103","Alabama","2001",5.1,"Alabama2001"
"104","Alaska","2001",6.4,"Alaska2001"
"105","Arizona","2001",4.8,"Arizona2001"
"106","Arkansas","2001",5,"Arkansas2001"
"107","California","2001",5.4,"California2001"
"108","Colorado","2001",3.8,"Colorado2001"
"109","Connecticut","2001",3.1,"Connecticut2001"
"110","Delaware","2001",3.5,"Delaware2001"
"111","District of Columbia","2001",6.3,"District of Columbia2001"
"112","Florida","2001",4.7,"Florida2001"
"113","Georgia","2001",4,"Georgia2001"
"114","Hawaii","2001",4.5,"Hawaii2001"
"115","Idaho","2001",5.1,"Idaho2001"
"116","Illinois","2001",5.3,"Illinois2001"
"117","Indiana","2001",4.2,"Indiana2001"
"118","Iowa","2001",3.3,"Iowa2001"
"119","Kansas","2001",4.2,"Kansas2001"
"120","Kentucky","2001",5.2,"Kentucky2001"
"121","Louisiana","2001",5.7,"Louisiana2001"
"122","Maine","2001",3.8,"Maine2001"
"123","Maryland","2001",4,"Maryland2001"
"124","Massachusetts","2001",3.7,"Massachusetts2001"
"125","Michigan","2001",5.2,"Michigan2001"
"126","Minnesota","2001",3.8,"Minnesota2001"
"127","Mississippi","2001",5.5,"Mississippi2001"
"128","Missouri","2001",4.6,"Missouri2001"
"129","Montana","2001",4.5,"Montana2001"
"130","Nebraska","2001",3.1,"Nebraska2001"
"131","Nevada","2001",5.2,"Nevada2001"
"132","New Hampshire","2001",3.4,"New Hampshire2001"
"133","New Jersey","2001",4.3,"New Jersey2001"
"134","New Mexico","2001",4.9,"New Mexico2001"
"135","New York","2001",4.8,"New York2001"
"136","North Carolina","2001",5.5,"North Carolina2001"
"137","North Dakota","2001",2.9,"North Dakota2001"
"138","Ohio","2001",4.3,"Ohio2001"
"139","Oklahoma","2001",3.7,"Oklahoma2001"
"140","Oregon","2001",6.4,"Oregon2001"
"141","Pennsylvania","2001",4.8,"Pennsylvania2001"
"142","Rhode Island","2001",4.6,"Rhode Island2001"
"143","South Carolina","2001",5.2,"South Carolina2001"
"144","South Dakota","2001",3.1,"South Dakota2001"
"145","Tennessee","2001",4.6,"Tennessee2001"
"146","Texas","2001",5,"Texas2001"
"147","Utah","2001",4.4,"Utah2001"
"148","Vermont","2001",3.3,"Vermont2001"
"149","Virginia","2001",3.2,"Virginia2001"
"150","Washington","2001",6.3,"Washington2001"
"151","West Virginia","2001",5,"West Virginia2001"
"152","Wisconsin","2001",4.5,"Wisconsin2001"
"153","Wyoming","2001",3.8,"Wyoming2001"
"154","Alabama","2002",5.9,"Alabama2002"
"155","Alaska","2002",7.3,"Alaska2002"
"156","Arizona","2002",6.1,"Arizona2002"
"157","Arkansas","2002",5.5,"Arkansas2002"
"158","California","2002",6.7,"California2002"
"159","Colorado","2002",5.5,"Colorado2002"
"160","Connecticut","2002",4.3,"Connecticut2002"
"161","Delaware","2002",4,"Delaware2002"
"162","District of Columbia","2002",6.4,"District of Columbia2002"
"163","Florida","2002",5.6,"Florida2002"
"164","Georgia","2002",5,"Georgia2002"
"165","Hawaii","2002",4.2,"Hawaii2002"
"166","Idaho","2002",5.6,"Idaho2002"
"167","Illinois","2002",6.5,"Illinois2002"
"168","Indiana","2002",5.2,"Indiana2002"
"169","Iowa","2002",4,"Iowa2002"
"170","Kansas","2002",5.1,"Kansas2002"
"171","Kentucky","2002",5.7,"Kentucky2002"
"172","Louisiana","2002",6.1,"Louisiana2002"
"173","Maine","2002",4.3,"Maine2002"
"174","Maryland","2002",4.4,"Maryland2002"
"175","Massachusetts","2002",5.3,"Massachusetts2002"
"176","Michigan","2002",6.3,"Michigan2002"
"177","Minnesota","2002",4.5,"Minnesota2002"
"178","Mississippi","2002",6.6,"Mississippi2002"
"179","Missouri","2002",5.4,"Missouri2002"
"180","Montana","2002",4.4,"Montana2002"
"181","Nebraska","2002",3.6,"Nebraska2002"
"182","Nevada","2002",5.6,"Nevada2002"
"183","New Hampshire","2002",4.5,"New Hampshire2002"
"184","New Jersey","2002",5.8,"New Jersey2002"
"185","New Mexico","2002",5.5,"New Mexico2002"
"186","New York","2002",6.1,"New York2002"
"187","North Carolina","2002",6.6,"North Carolina2002"
"188","North Dakota","2002",3.7,"North Dakota2002"
"189","Ohio","2002",5.7,"Ohio2002"
"190","Oklahoma","2002",4.7,"Oklahoma2002"
"191","Oregon","2002",7.5,"Oregon2002"
"192","Pennsylvania","2002",5.6,"Pennsylvania2002"
"193","Rhode Island","2002",5,"Rhode Island2002"
"194","South Carolina","2002",5.8,"South Carolina2002"
"195","South Dakota","2002",3.2,"South Dakota2002"
"196","Tennessee","2002",5.2,"Tennessee2002"
"197","Texas","2002",6.4,"Texas2002"
"198","Utah","2002",5.8,"Utah2002"
"199","Vermont","2002",4,"Vermont2002"
"200","Virginia","2002",4.2,"Virginia2002"
"201","Washington","2002",7.4,"Washington2002"
"202","West Virginia","2002",5.9,"West Virginia2002"
"203","Wisconsin","2002",5.4,"Wisconsin2002"
"204","Wyoming","2002",4,"Wyoming2002"
"205","Alabama","2003",6,"Alabama2003"
"206","Alaska","2003",7.8,"Alaska2003"
"207","Arizona","2003",5.7,"Arizona2003"
"208","Arkansas","2003",5.9,"Arkansas2003"
"209","California","2003",6.8,"California2003"
"210","Colorado","2003",6,"Colorado2003"
"211","Connecticut","2003",5.4,"Connecticut2003"
"212","Delaware","2003",4.3,"Delaware2003"
"213","District of Columbia","2003",6.8,"District of Columbia2003"
"214","Florida","2003",5.2,"Florida2003"
"215","Georgia","2003",4.8,"Georgia2003"
"216","Hawaii","2003",4.1,"Hawaii2003"
"217","Idaho","2003",5.6,"Idaho2003"
"218","Illinois","2003",6.8,"Illinois2003"
"219","Indiana","2003",5.3,"Indiana2003"
"220","Iowa","2003",4.5,"Iowa2003"
"221","Kansas","2003",5.5,"Kansas2003"
"222","Kentucky","2003",6.1,"Kentucky2003"
"223","Louisiana","2003",6.4,"Louisiana2003"
"224","Maine","2003",5,"Maine2003"
"225","Maryland","2003",4.4,"Maryland2003"
"226","Massachusetts","2003",5.7,"Massachusetts2003"
"227","Michigan","2003",7.2,"Michigan2003"
"228","Minnesota","2003",4.9,"Minnesota2003"
"229","Mississippi","2003",6.3,"Mississippi2003"
"230","Missouri","2003",5.6,"Missouri2003"
"231","Montana","2003",4.7,"Montana2003"
"232","Nebraska","2003",3.9,"Nebraska2003"
"233","Nevada","2003",5.1,"Nevada2003"
"234","New Hampshire","2003",4.3,"New Hampshire2003"
"235","New Jersey","2003",5.8,"New Jersey2003"
"236","New Mexico","2003",5.9,"New Mexico2003"
"237","New York","2003",6.4,"New York2003"
"238","North Carolina","2003",6.4,"North Carolina2003"
"239","North Dakota","2003",3.7,"North Dakota2003"
"240","Ohio","2003",6.2,"Ohio2003"
"241","Oklahoma","2003",5.5,"Oklahoma2003"
"242","Oregon","2003",8.1,"Oregon2003"
"243","Pennsylvania","2003",5.7,"Pennsylvania2003"
"244","Rhode Island","2003",5.3,"Rhode Island2003"
"245","South Carolina","2003",6.9,"South Carolina2003"
"246","South Dakota","2003",3.5,"South Dakota2003"
"247","Tennessee","2003",5.6,"Tennessee2003"
"248","Texas","2003",6.7,"Texas2003"
"249","Utah","2003",5.6,"Utah2003"
"250","Vermont","2003",4.3,"Vermont2003"
"251","Virginia","2003",4.1,"Virginia2003"
"252","Washington","2003",7.4,"Washington2003"
"253","West Virginia","2003",6,"West Virginia2003"
"254","Wisconsin","2003",5.7,"Wisconsin2003"
"255","Wyoming","2003",4.3,"Wyoming2003"
"256","Alabama","2004",5.7,"Alabama2004"
"257","Alaska","2004",7.5,"Alaska2004"
"258","Arizona","2004",5,"Arizona2004"
"259","Arkansas","2004",5.7,"Arkansas2004"
"260","California","2004",6.2,"California2004"
"261","Colorado","2004",5.5,"Colorado2004"
"262","Connecticut","2004",5,"Connecticut2004"
"263","Delaware","2004",4,"Delaware2004"
"264","District of Columbia","2004",7.8,"District of Columbia2004"
"265","Florida","2004",4.6,"Florida2004"
"266","Georgia","2004",4.8,"Georgia2004"
"267","Hawaii","2004",3.4,"Hawaii2004"
"268","Idaho","2004",4.9,"Idaho2004"
"269","Illinois","2004",6.2,"Illinois2004"
"270","Indiana","2004",5.4,"Indiana2004"
"271","Iowa","2004",4.5,"Iowa2004"
"272","Kansas","2004",5.5,"Kansas2004"
"273","Kentucky","2004",5.4,"Kentucky2004"
"274","Louisiana","2004",5.9,"Louisiana2004"
"275","Maine","2004",4.6,"Maine2004"
"276","Maryland","2004",4.3,"Maryland2004"
"277","Massachusetts","2004",5.1,"Massachusetts2004"
"278","Michigan","2004",7,"Michigan2004"
"279","Minnesota","2004",4.7,"Minnesota2004"
"280","Mississippi","2004",6.2,"Mississippi2004"
"281","Missouri","2004",5.9,"Missouri2004"
"282","Montana","2004",4.8,"Montana2004"
"283","Nebraska","2004",3.9,"Nebraska2004"
"284","Nevada","2004",4.3,"Nevada2004"
"285","New Hampshire","2004",3.8,"New Hampshire2004"
"286","New Jersey","2004",4.8,"New Jersey2004"
"287","New Mexico","2004",5.5,"New Mexico2004"
"288","New York","2004",5.8,"New York2004"
"289","North Carolina","2004",5.5,"North Carolina2004"
"290","North Dakota","2004",3.4,"North Dakota2004"
"291","Ohio","2004",6.3,"Ohio2004"
"292","Oklahoma","2004",4.9,"Oklahoma2004"
"293","Oregon","2004",7.3,"Oregon2004"
"294","Pennsylvania","2004",5.4,"Pennsylvania2004"
"295","Rhode Island","2004",5.2,"Rhode Island2004"
"296","South Carolina","2004",6.8,"South Carolina2004"
"297","South Dakota","2004",3.7,"South Dakota2004"
"298","Tennessee","2004",5.3,"Tennessee2004"
"299","Texas","2004",5.9,"Texas2004"
"300","Utah","2004",5,"Utah2004"
"301","Vermont","2004",3.7,"Vermont2004"
"302","Virginia","2004",3.8,"Virginia2004"
"303","Washington","2004",6.3,"Washington2004"
"304","West Virginia","2004",5.3,"West Virginia2004"
"305","Wisconsin","2004",5,"Wisconsin2004"
"306","Wyoming","2004",3.8,"Wyoming2004"
"307","Alabama","2005",4.5,"Alabama2005"
"308","Alaska","2005",6.9,"Alaska2005"
"309","Arizona","2005",4.7,"Arizona2005"
"310","Arkansas","2005",5.2,"Arkansas2005"
"311","California","2005",5.4,"California2005"
"312","Colorado","2005",5,"Colorado2005"
"313","Connecticut","2005",4.9,"Connecticut2005"
"314","Delaware","2005",4.1,"Delaware2005"
"315","District of Columbia","2005",6.4,"District of Columbia2005"
"316","Florida","2005",3.7,"Florida2005"
"317","Georgia","2005",5.3,"Georgia2005"
"318","Hawaii","2005",2.9,"Hawaii2005"
"319","Idaho","2005",4,"Idaho2005"
"320","Illinois","2005",5.7,"Illinois2005"
"321","Indiana","2005",5.5,"Indiana2005"
"322","Iowa","2005",4.3,"Iowa2005"
"323","Kansas","2005",5,"Kansas2005"
"324","Kentucky","2005",5.9,"Kentucky2005"
"325","Louisiana","2005",7.2,"Louisiana2005"
"326","Maine","2005",4.9,"Maine2005"
"327","Maryland","2005",4.1,"Maryland2005"
"328","Massachusetts","2005",4.8,"Massachusetts2005"
"329","Michigan","2005",6.8,"Michigan2005"
"330","Minnesota","2005",4.1,"Minnesota2005"
"331","Mississippi","2005",7.5,"Mississippi2005"
"332","Missouri","2005",5.4,"Missouri2005"
"333","Montana","2005",4.4,"Montana2005"
"334","Nebraska","2005",3.8,"Nebraska2005"
"335","Nevada","2005",4.1,"Nevada2005"
"336","New Hampshire","2005",3.6,"New Hampshire2005"
"337","New Jersey","2005",4.5,"New Jersey2005"
"338","New Mexico","2005",5.1,"New Mexico2005"
"339","New York","2005",5,"New York2005"
"340","North Carolina","2005",5.2,"North Carolina2005"
"341","North Dakota","2005",3.4,"North Dakota2005"
"342","Ohio","2005",5.9,"Ohio2005"
"343","Oklahoma","2005",4.5,"Oklahoma2005"
"344","Oregon","2005",6.2,"Oregon2005"
"345","Pennsylvania","2005",5,"Pennsylvania2005"
"346","Rhode Island","2005",5,"Rhode Island2005"
"347","South Carolina","2005",6.7,"South Carolina2005"
"348","South Dakota","2005",3.8,"South Dakota2005"
"349","Tennessee","2005",5.6,"Tennessee2005"
"350","Texas","2005",5.4,"Texas2005"
"351","Utah","2005",4.1,"Utah2005"
"352","Vermont","2005",3.5,"Vermont2005"
"353","Virginia","2005",3.6,"Virginia2005"
"354","Washington","2005",5.6,"Washington2005"
"355","West Virginia","2005",5.1,"West Virginia2005"
"356","Wisconsin","2005",4.7,"Wisconsin2005"
"357","Wyoming","2005",3.6,"Wyoming2005"
"358","Alabama","2006",4,"Alabama2006"
"359","Alaska","2006",6.6,"Alaska2006"
"360","Arizona","2006",4.2,"Arizona2006"
"361","Arkansas","2006",5.2,"Arkansas2006"
"362","California","2006",4.9,"California2006"
"363","Colorado","2006",4.3,"Colorado2006"
"364","Connecticut","2006",4.3,"Connecticut2006"
"365","Delaware","2006",3.6,"Delaware2006"
"366","District of Columbia","2006",5.8,"District of Columbia2006"
"367","Florida","2006",3.2,"Florida2006"
"368","Georgia","2006",4.7,"Georgia2006"
"369","Hawaii","2006",2.6,"Hawaii2006"
"370","Idaho","2006",3.5,"Idaho2006"
"371","Illinois","2006",4.5,"Illinois2006"
"372","Indiana","2006",5,"Indiana2006"
"373","Iowa","2006",3.7,"Iowa2006"
"374","Kansas","2006",4.4,"Kansas2006"
"375","Kentucky","2006",5.7,"Kentucky2006"
"376","Louisiana","2006",4.5,"Louisiana2006"
"377","Maine","2006",4.6,"Maine2006"
"378","Maryland","2006",3.9,"Maryland2006"
"379","Massachusetts","2006",4.9,"Massachusetts2006"
"380","Michigan","2006",7,"Michigan2006"
"381","Minnesota","2006",4,"Minnesota2006"
"382","Mississippi","2006",6.5,"Mississippi2006"
"383","Missouri","2006",4.8,"Missouri2006"
"384","Montana","2006",3.5,"Montana2006"
"385","Nebraska","2006",3.1,"Nebraska2006"
"386","Nevada","2006",4,"Nevada2006"
"387","New Hampshire","2006",3.4,"New Hampshire2006"
"388","New Jersey","2006",4.7,"New Jersey2006"
"389","New Mexico","2006",4.2,"New Mexico2006"
"390","New York","2006",4.5,"New York2006"
"391","North Carolina","2006",4.7,"North Carolina2006"
"392","North Dakota","2006",3.2,"North Dakota2006"
"393","Ohio","2006",5.4,"Ohio2006"
"394","Oklahoma","2006",4,"Oklahoma2006"
"395","Oregon","2006",5.3,"Oregon2006"
"396","Pennsylvania","2006",4.6,"Pennsylvania2006"
"397","Rhode Island","2006",4.9,"Rhode Island2006"
"398","South Carolina","2006",6.4,"South Carolina2006"
"399","South Dakota","2006",3.1,"South Dakota2006"
"400","Tennessee","2006",5.2,"Tennessee2006"
"401","Texas","2006",4.9,"Texas2006"
"402","Utah","2006",3,"Utah2006"
"403","Vermont","2006",3.7,"Vermont2006"
"404","Virginia","2006",3.1,"Virginia2006"
"405","Washington","2006",5,"Washington2006"
"406","West Virginia","2006",4.9,"West Virginia2006"
"407","Wisconsin","2006",4.7,"Wisconsin2006"
"408","Wyoming","2006",3.2,"Wyoming2006"
"409","Alabama","2007",4,"Alabama2007"
"410","Alaska","2007",6.3,"Alaska2007"
"411","Arizona","2007",3.9,"Arizona2007"
"412","Arkansas","2007",5.3,"Arkansas2007"
"413","California","2007",5.4,"California2007"
"414","Colorado","2007",3.7,"Colorado2007"
"415","Connecticut","2007",4.5,"Connecticut2007"
"416","Delaware","2007",3.4,"Delaware2007"
"417","District of Columbia","2007",5.5,"District of Columbia2007"
"418","Florida","2007",4,"Florida2007"
"419","Georgia","2007",4.5,"Georgia2007"
"420","Hawaii","2007",2.8,"Hawaii2007"
"421","Idaho","2007",3.1,"Idaho2007"
"422","Illinois","2007",5,"Illinois2007"
"423","Indiana","2007",4.6,"Indiana2007"
"424","Iowa","2007",3.7,"Iowa2007"
"425","Kansas","2007",4.2,"Kansas2007"
"426","Kentucky","2007",5.4,"Kentucky2007"
"427","Louisiana","2007",4.3,"Louisiana2007"
"428","Maine","2007",4.7,"Maine2007"
"429","Maryland","2007",3.5,"Maryland2007"
"430","Massachusetts","2007",4.6,"Massachusetts2007"
"431","Michigan","2007",7,"Michigan2007"
"432","Minnesota","2007",4.6,"Minnesota2007"
"433","Mississippi","2007",6.1,"Mississippi2007"
"434","Missouri","2007",5.1,"Missouri2007"
"435","Montana","2007",3.6,"Montana2007"
"436","Nebraska","2007",3,"Nebraska2007"
"437","Nevada","2007",4.5,"Nevada2007"
"438","New Hampshire","2007",3.5,"New Hampshire2007"
"439","New Jersey","2007",4.3,"New Jersey2007"
"440","New Mexico","2007",3.8,"New Mexico2007"
"441","New York","2007",4.6,"New York2007"
"442","North Carolina","2007",4.7,"North Carolina2007"
"443","North Dakota","2007",3.1,"North Dakota2007"
"444","Ohio","2007",5.6,"Ohio2007"
"445","Oklahoma","2007",4.1,"Oklahoma2007"
"446","Oregon","2007",5.2,"Oregon2007"
"447","Pennsylvania","2007",4.4,"Pennsylvania2007"
"448","Rhode Island","2007",5.2,"Rhode Island2007"
"449","South Carolina","2007",5.7,"South Carolina2007"
"450","South Dakota","2007",2.8,"South Dakota2007"
"451","Tennessee","2007",4.7,"Tennessee2007"
"452","Texas","2007",4.3,"Texas2007"
"453","Utah","2007",2.6,"Utah2007"
"454","Vermont","2007",4,"Vermont2007"
"455","Virginia","2007",3,"Virginia2007"
"456","Washington","2007",4.7,"Washington2007"
"457","West Virginia","2007",4.6,"West Virginia2007"
"458","Wisconsin","2007",4.9,"Wisconsin2007"
"459","Wyoming","2007",2.8,"Wyoming2007"
"460","Alabama","2008",5.7,"Alabama2008"
